changeid,employeeid,changedate,oldsalary,newsalary,reason,change_year,change_month,change_quarter,salary_change,salary_change_pct
COMP-1,PNR-1001,2022-05-02,63502.0,,Merit,2022,5,2,,
COMP-4360,PNR-1001,2023-06-05,,77522.0,Promotion,2023,6,2,,
COMP-3,PNR-1001,2024-05-10,77522.0,85274.0,Unknown,2024,5,2,7752.0,10.0
 COMP-5 ,PNR-1002,2021-12-05,61221.0,67955.0,Promotion,2021,12,4,6734.0,11.0
COMP-6,PNR-1002,2022-12-06,67955.0,71352.0,Merit,2022,12,4,3397.0,5.0
COMP-7,PNR-1004,2020-12-26,49257.0,55167.0,Merit,2020,12,4,5910.0,12.0
COMP-11,PNR-1005,2025-07-19,121825.0,140098.0,Merit,2025,7,3,18273.0,15.0
 COMP-14 ,PNR-1008,2024-06-13,63293.0,69622.0,Merit,2024,6,2,6329.0,10.0
COMP-16,PNR-1009,2023-03-01,47854.0,54553.0,Promotion,2023,3,1,6699.0,14.0
COMP-18,PNR-1009,2025-02-02,58371.0,61289.0,Merit,2025,2,1,2918.0,5.0
COMP-19,PNR-1011,2023-07-13,117771.0,131903.0,Unknown,2023,7,3,14132.0,12.0
COMP-20,PNR-1011,2024-07-18,131903.0,143774.0,Promotion,2024,7,3,11871.0,9.0
 COMP-21 ,PNR-1011,2025-08-04,143774.0,153838.0,Unknown,2025,8,3,10064.0,7.0
COMP-22,PNR-1012,2019-11-29,,74093.0,Merit,2019,11,4,,
COMP-23,PNR-1012,2020-10-15,74093.0,80020.0,Promotion,2020,10,4,5927.0,8.0
COMP-4361,PNR-1012,2021-08-19,80020.0,,Promotion,2021,8,3,,
COMP-25,PNR-1013,2021-12-26,140858.0,149309.0,Unknown,2021,12,4,8451.0,6.0
COMP-28,PNR-1016,2024-05-26,62439.0,66185.0,Unknown,2024,5,2,3746.0,6.0
COMP-29,PNR-1016,2025-04-14,,70156.0,Merit,2025,4,2,,
COMP-30,PNR-1017,2022-03-07,66896.0,75592.0,Unknown,2022,3,1,8696.0,13.0
COMP-31,PNR-1017,2023-01-11,75592.0,83151.0,Promotion,2023,1,1,7559.0,10.0
COMP-4362,PNR-1017,2024-02-10,83151.0,89803.0,Promotion,2024,2,1,6652.0,8.0
COMP-32,PNR-1017,2024-02-10,83151.0,89803.0,Promotion,2024,2,1,6652.0,8.0
COMP-4363,PNR-1019,2022-02-03,57875.0,62505.0,Promotion,2022,2,1,4630.0,8.0
COMP-35,PNR-1019,2022-02-03,57875.0,62505.0,Promotion,2022,2,1,4630.0,8.0
COMP-36,PNR-1019,2023-02-03,62505.0,66880.0,Merit,2023,2,1,4375.0,7.0
COMP-37,PNR-1019,2023-12-22,66880.0,70892.0,Promotion,2023,12,4,4012.0,6.0
COMP-40,PNR-1020,2024-03-16,58397.0,,Merit,2024,3,1,,
COMP-41,PNR-1020,2025-01-20,65988.0,72586.0,Merit,2025,1,1,6598.0,10.0
COMP-4364,PNR-1021,2024-10-28,73645.0,78063.0,Promotion,2024,10,4,4418.0,6.0
