recordid,monthend,department,headcount,hires,terminations,attritionrate,year,month,quarter,month_name,net_change,growth_rate,turnover_rate,hire_rate,headcount_3m_avg,hires_3m_avg,terminations_3m_avg,headcount_mom_change,headcount_mom_change_pct,dept_avg_headcount,headcount_category,attrition_risk,has_hires,has_terminations,is_growing,is_shrinking
HC-5,2018-01-30,Finance,1,1,0,0.0,2018,1,1,January,1,100.0,0.0,100.0,1.0,1.0,0.0,,,98.0,Small (<20),,1,0,1,0
HC-14,2018-02-27,Finance,2,1,0,0.0,2018,2,1,February,1,50.0,0.0,50.0,2.0,1.0,0.0,1.0,100.0,98.0,Small (<20),,1,0,1,0
HC-23,2018-03-30,Finance,9,7,0,0.0,2018,3,1,March,7,77.78,0.0,77.78,4.0,3.0,0.0,7.0,350.0,98.0,Small (<20),,1,0,1,0
HC-32,2018-04-29,Finance,11,2,0,0.0,2018,4,2,April,2,18.18,0.0,18.18,7.0,3.3,0.0,2.0,22.22,98.0,Small (<20),,1,0,1,0
HC-41,2018-05-30,Finance,15,4,0,0.0,2018,5,2,May,4,26.67,0.0,26.67,12.0,4.3,0.0,4.0,36.36,98.0,Small (<20),,1,0,1,0
HC-50,2018-06-29,Finance,18,3,0,0.0,2018,6,2,June,3,16.67,0.0,16.67,15.0,3.0,0.0,3.0,20.0,98.0,Small (<20),,1,0,1,0
HC-59,2018-07-30,Finance,20,2,0,0.0,2018,7,3,July,2,10.0,0.0,10.0,18.0,3.0,0.0,2.0,11.11,98.0,Small (<20),,1,0,1,0
HC-68,2018-08-30,Finance,21,1,0,0.0,2018,8,3,August,1,4.76,0.0,4.76,20.0,2.0,0.0,1.0,5.0,98.0,Medium (20-50),,1,0,1,0
HC-77,2018-09-29,Finance,21,0,0,0.0,2018,9,3,September,0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,98.0,Medium (20-50),,0,0,0,0
HC-86,2018-10-30,Finance,24,3,0,0.0,2018,10,4,October,3,12.5,0.0,12.5,22.0,1.3,0.0,3.0,14.29,98.0,Medium (20-50),,1,0,1,0
HC-95,2018-11-29,Finance,26,2,0,0.0,2018,11,4,November,2,7.69,0.0,7.69,24.0,1.7,0.0,2.0,8.33,98.0,Medium (20-50),,1,0,1,0
HC-104,2018-12-30,Finance,27,3,1,0.037,2018,12,4,December,2,7.41,3.7,11.11,26.0,2.7,0.3,1.0,3.85,98.0,Medium (20-50),Low (<5%),1,1,1,0
HC-113,2019-01-30,Finance,32,4,0,0.0,2019,1,1,January,4,12.5,0.0,12.5,28.0,3.0,0.3,5.0,18.52,98.0,Medium (20-50),,1,0,1,0
HC-122,2019-02-27,Finance,34,2,0,0.0,2019,2,1,February,2,5.88,0.0,5.88,31.0,3.0,0.3,2.0,6.25,98.0,Medium (20-50),,1,0,1,0
HC-131,2019-03-30,Finance,34,0,0,0.0,2019,3,1,March,0,0.0,0.0,0.0,33.0,2.0,0.0,0.0,0.0,98.0,Medium (20-50),,0,0,0,0
HC-140,2019-04-29,Finance,36,2,0,0.0,2019,4,2,April,2,5.56,0.0,5.56,35.0,1.3,0.0,2.0,5.88,98.0,Medium (20-50),,1,0,1,0
HC-149,2019-05-30,Finance,39,3,0,0.0,2019,5,2,May,3,7.69,0.0,7.69,36.0,1.7,0.0,3.0,8.33,98.0,Medium (20-50),,1,0,1,0
HC-158,2019-06-29,Finance,39,1,1,0.0256,2019,6,2,June,0,0.0,2.56,2.56,38.0,2.0,0.3,0.0,0.0,98.0,Medium (20-50),Low (<5%),1,1,0,0
HC-167,2019-07-30,Finance,43,4,0,0.0,2019,7,3,July,4,9.3,0.0,9.3,40.0,2.7,0.3,4.0,10.26,98.0,Medium (20-50),,1,0,1,0
HC-176,2019-08-30,Finance,45,2,0,0.0,2019,8,3,August,2,4.44,0.0,4.44,42.0,2.3,0.3,2.0,4.65,98.0,Medium (20-50),,1,0,1,0
HC-185,2019-09-29,Finance,48,3,0,0.0,2019,9,3,September,3,6.25,0.0,6.25,45.0,3.0,0.0,3.0,6.67,98.0,Medium (20-50),,1,0,1,0
HC-194,2019-10-30,Finance,51,3,0,0.0,2019,10,4,October,3,5.88,0.0,5.88,48.0,2.7,0.0,3.0,6.25,98.0,Large (50-100),,1,0,1,0
HC-203,2019-11-29,Finance,52,1,0,0.0,2019,11,4,November,1,1.92,0.0,1.92,50.0,2.3,0.0,1.0,1.96,98.0,Large (50-100),,1,0,1,0
HC-212,2019-12-30,Finance,55,4,0,0.0,2019,12,4,December,4,7.27,0.0,7.27,53.0,2.7,0.0,3.0,5.77,98.0,Large (50-100),,1,0,1,0
HC-221,2020-01-30,Finance,58,2,0,0.0,2020,1,1,January,2,3.45,0.0,3.45,55.0,2.3,0.0,3.0,5.45,98.0,Large (50-100),,1,0,1,0
HC-230,2020-02-28,Finance,59,1,0,0.0,2020,2,1,February,1,1.69,0.0,1.69,57.0,2.3,0.0,1.0,1.72,98.0,Large (50-100),,1,0,1,0
HC-239,2020-03-30,Finance,59,0,0,0.0,2020,3,1,March,0,0.0,0.0,0.0,59.0,1.0,0.0,0.0,0.0,98.0,Large (50-100),,0,0,0,0
HC-248,2020-04-29,Finance,61,2,0,0.0,2020,4,2,April,2,3.28,0.0,3.28,60.0,1.0,0.0,2.0,3.39,98.0,Large (50-100),,1,0,1,0
HC-257,2020-05-30,Finance,61,2,2,0.0328,2020,5,2,May,0,0.0,3.28,3.28,60.0,1.3,0.7,0.0,0.0,98.0,Large (50-100),Low (<5%),1,1,0,0
HC-266,2020-06-29,Finance,66,5,0,0.0,2020,6,2,June,5,7.58,0.0,7.58,63.0,3.0,0.7,5.0,8.2,98.0,Large (50-100),,1,0,1,0
HC-275,2020-07-30,Finance,67,2,1,0.0149,2020,7,3,July,1,1.49,1.49,2.99,65.0,3.0,1.0,1.0,1.52,98.0,Large (50-100),Low (<5%),1,1,1,0
HC-284,2020-08-30,Finance,68,1,0,0.0,2020,8,3,August,1,1.47,0.0,1.47,67.0,2.7,0.3,1.0,1.49,98.0,Large (50-100),,1,0,1,0
HC-293,2020-09-29,Finance,72,4,0,0.0,2020,9,3,September,4,5.56,0.0,5.56,69.0,2.3,0.3,4.0,5.88,98.0,Large (50-100),,1,0,1,0
HC-302,2020-10-30,Finance,76,4,0,0.0,2020,10,4,October,4,5.26,0.0,5.26,72.0,3.0,0.0,4.0,5.56,98.0,Large (50-100),,1,0,1,0
HC-311,2020-11-29,Finance,76,0,0,0.0,2020,11,4,November,0,0.0,0.0,0.0,75.0,2.7,0.0,0.0,0.0,98.0,Large (50-100),,0,0,0,0
HC-320,2020-12-30,Finance,76,1,1,0.0132,2020,12,4,December,0,0.0,1.32,1.32,76.0,1.7,0.3,0.0,0.0,98.0,Large (50-100),Low (<5%),1,1,0,0
HC-329,2021-01-30,Finance,80,4,0,0.0,2021,1,1,January,4,5.0,0.0,5.0,77.0,1.7,0.3,4.0,5.26,98.0,Large (50-100),,1,0,1,0
HC-338,2021-02-27,Finance,82,2,0,0.0,2021,2,1,February,2,2.44,0.0,2.44,79.0,2.3,0.3,2.0,2.5,98.0,Large (50-100),,1,0,1,0
HC-347,2021-03-30,Finance,83,1,0,0.0,2021,3,1,March,1,1.2,0.0,1.2,82.0,2.3,0.0,1.0,1.22,98.0,Large (50-100),,1,0,1,0
HC-356,2021-04-29,Finance,84,1,0,0.0,2021,4,2,April,1,1.19,0.0,1.19,83.0,1.3,0.0,1.0,1.2,98.0,Large (50-100),,1,0,1,0
HC-365,2021-05-30,Finance,86,2,0,0.0,2021,5,2,May,2,2.33,0.0,2.33,84.0,1.3,0.0,2.0,2.38,98.0,Large (50-100),,1,0,1,0
HC-374,2021-06-29,Finance,89,3,0,0.0,2021,6,2,June,3,3.37,0.0,3.37,86.0,2.0,0.0,3.0,3.49,98.0,Large (50-100),,1,0,1,0
HC-383,2021-07-30,Finance,91,2,0,0.0,2021,7,3,July,2,2.2,0.0,2.2,89.0,2.3,0.0,2.0,2.25,98.0,Large (50-100),,1,0,1,0
HC-392,2021-08-30,Finance,94,3,0,0.0,2021,8,3,August,3,3.19,0.0,3.19,91.0,2.7,0.0,3.0,3.3,98.0,Large (50-100),,1,0,1,0
HC-401,2021-09-29,Finance,96,2,0,0.0,2021,9,3,September,2,2.08,0.0,2.08,94.0,2.3,0.0,2.0,2.13,98.0,Large (50-100),,1,0,1,0
HC-410,2021-10-30,Finance,96,0,0,0.0,2021,10,4,October,0,0.0,0.0,0.0,95.0,1.7,0.0,0.0,0.0,98.0,Large (50-100),,0,0,0,0
HC-419,2021-11-29,Finance,98,3,1,0.0102,2021,11,4,November,2,2.04,1.02,3.06,97.0,1.7,0.3,2.0,2.08,98.0,Large (50-100),Low (<5%),1,1,1,0
HC-428,2021-12-30,Finance,100,2,0,0.0,2021,12,4,December,2,2.0,0.0,2.0,98.0,1.7,0.3,2.0,2.04,98.0,Large (50-100),,1,0,1,0
HC-437,2022-01-30,Finance,102,2,0,0.0,2022,1,1,January,2,1.96,0.0,1.96,100.0,2.3,0.3,2.0,2.0,98.0,Very Large (100+),,1,0,1,0
HC-446,2022-02-27,Finance,102,1,1,0.0098,2022,2,1,February,0,0.0,0.98,0.98,101.0,1.7,0.3,0.0,0.0,98.0,Very Large (100+),Low (<5%),1,1,0,0
HC-455,2022-03-30,Finance,106,4,0,0.0,2022,3,1,March,4,3.77,0.0,3.77,103.0,2.3,0.3,4.0,3.92,98.0,Very Large (100+),,1,0,1,0
HC-464,2022-04-29,Finance,108,3,1,0.0093,2022,4,2,April,2,1.85,0.93,2.78,105.0,2.7,0.7,2.0,1.89,98.0,Very Large (100+),Low (<5%),1,1,1,0
HC-473,2022-05-30,Finance,110,2,0,0.0,2022,5,2,May,2,1.82,0.0,1.82,108.0,3.0,0.3,2.0,1.85,98.0,Very Large (100+),,1,0,1,0
HC-482,2022-06-29,Finance,113,3,0,0.0,2022,6,2,June,3,2.65,0.0,2.65,110.0,2.7,0.3,3.0,2.73,98.0,Very Large (100+),,1,0,1,0
HC-491,2022-07-30,Finance,114,1,0,0.0,2022,7,3,July,1,0.88,0.0,0.88,112.0,2.0,0.0,1.0,0.88,98.0,Very Large (100+),,1,0,1,0
HC-500,2022-08-30,Finance,114,0,0,0.0,2022,8,3,August,0,0.0,0.0,0.0,114.0,1.3,0.0,0.0,0.0,98.0,Very Large (100+),,0,0,0,0
HC-509,2022-09-29,Finance,115,1,0,0.0,2022,9,3,September,1,0.87,0.0,0.87,114.0,0.7,0.0,1.0,0.88,98.0,Very Large (100+),,1,0,1,0
HC-518,2022-10-30,Finance,118,5,2,0.0169,2022,10,4,October,3,2.54,1.69,4.24,116.0,2.0,0.7,3.0,2.61,98.0,Very Large (100+),Low (<5%),1,1,1,0
HC-527,2022-11-29,Finance,119,1,0,0.0,2022,11,4,November,1,0.84,0.0,0.84,117.0,2.3,0.7,1.0,0.85,98.0,Very Large (100+),,1,0,1,0
HC-536,2022-12-30,Finance,120,1,0,0.0,2022,12,4,December,1,0.83,0.0,0.83,119.0,2.3,0.7,1.0,0.84,98.0,Very Large (100+),,1,0,1,0
HC-545,2023-01-30,Finance,122,2,0,0.0,2023,1,1,January,2,1.64,0.0,1.64,120.0,1.3,0.0,2.0,1.67,98.0,Very Large (100+),,1,0,1,0
HC-554,2023-02-27,Finance,121,0,1,0.0083,2023,2,1,February,-1,-0.83,0.83,0.0,121.0,1.0,0.3,-1.0,-0.82,98.0,Very Large (100+),Low (<5%),0,1,0,1
HC-563,2023-03-30,Finance,125,4,0,0.0,2023,3,1,March,4,3.2,0.0,3.2,123.0,2.0,0.3,4.0,3.31,98.0,Very Large (100+),,1,0,1,0
HC-572,2023-04-29,Finance,130,5,0,0.0,2023,4,2,April,5,3.85,0.0,3.85,125.0,3.0,0.3,5.0,4.0,98.0,Very Large (100+),,1,0,1,0
HC-581,2023-05-30,Finance,132,2,0,0.0,2023,5,2,May,2,1.52,0.0,1.52,129.0,3.7,0.0,2.0,1.54,98.0,Very Large (100+),,1,0,1,0
HC-590,2023-06-29,Finance,135,3,0,0.0,2023,6,2,June,3,2.22,0.0,2.22,132.0,3.3,0.0,3.0,2.27,98.0,Very Large (100+),,1,0,1,0
HC-599,2023-07-30,Finance,139,4,0,0.0,2023,7,3,July,4,2.88,0.0,2.88,135.0,3.0,0.0,4.0,2.96,98.0,Very Large (100+),,1,0,1,0
HC-608,2023-08-30,Finance,143,4,0,0.0,2023,8,3,August,4,2.8,0.0,2.8,139.0,3.7,0.0,4.0,2.88,98.0,Very Large (100+),,1,0,1,0
HC-617,2023-09-29,Finance,143,1,1,0.007,2023,9,3,September,0,0.0,0.7,0.7,142.0,3.0,0.3,0.0,0.0,98.0,Very Large (100+),Low (<5%),1,1,0,0
HC-626,2023-10-30,Finance,145,2,0,0.0,2023,10,4,October,2,1.38,0.0,1.38,144.0,2.3,0.3,2.0,1.4,98.0,Very Large (100+),,1,0,1,0
HC-635,2023-11-29,Finance,146,1,0,0.0,2023,11,4,November,1,0.68,0.0,0.68,145.0,1.3,0.3,1.0,0.69,98.0,Very Large (100+),,1,0,1,0
HC-644,2023-12-30,Finance,150,4,0,0.0,2023,12,4,December,4,2.67,0.0,2.67,147.0,2.3,0.0,4.0,2.74,98.0,Very Large (100+),,1,0,1,0
HC-653,2024-01-30,Finance,151,1,0,0.0,2024,1,1,January,1,0.66,0.0,0.66,149.0,2.0,0.0,1.0,0.67,98.0,Very Large (100+),,1,0,1,0
HC-662,2024-02-28,Finance,150,0,1,0.0067,2024,2,1,February,-1,-0.67,0.67,0.0,150.0,1.7,0.3,-1.0,-0.66,98.0,Very Large (100+),Low (<5%),0,1,0,1
HC-671,2024-03-30,Finance,154,4,0,0.0,2024,3,1,March,4,2.6,0.0,2.6,152.0,1.7,0.3,4.0,2.67,98.0,Very Large (100+),,1,0,1,0
HC-680,2024-04-29,Finance,157,3,0,0.0,2024,4,2,April,3,1.91,0.0,1.91,154.0,2.3,0.3,3.0,1.95,98.0,Very Large (100+),,1,0,1,0
HC-689,2024-05-30,Finance,159,3,1,0.0063,2024,5,2,May,2,1.26,0.63,1.89,157.0,3.3,0.3,2.0,1.27,98.0,Very Large (100+),Low (<5%),1,1,1,0
HC-698,2024-06-29,Finance,159,0,0,0.0,2024,6,2,June,0,0.0,0.0,0.0,158.0,2.0,0.3,0.0,0.0,98.0,Very Large (100+),,0,0,0,0
HC-707,2024-07-30,Finance,158,0,1,0.0063,2024,7,3,July,-1,-0.63,0.63,0.0,159.0,1.0,0.7,-1.0,-0.63,98.0,Very Large (100+),Low (<5%),0,1,0,1
HC-716,2024-08-30,Finance,162,4,0,0.0,2024,8,3,August,4,2.47,0.0,2.47,160.0,1.3,0.3,4.0,2.53,98.0,Very Large (100+),,1,0,1,0
HC-725,2024-09-29,Finance,163,3,1,0.0061,2024,9,3,September,2,1.23,0.61,1.84,161.0,2.3,0.7,1.0,0.62,98.0,Very Large (100+),Low (<5%),1,1,1,0
HC-734,2024-10-30,Finance,166,2,0,0.0,2024,10,4,October,2,1.2,0.0,1.2,164.0,3.0,0.3,3.0,1.84,98.0,Very Large (100+),,1,0,1,0
HC-743,2024-11-29,Finance,166,0,0,0.0,2024,11,4,November,0,0.0,0.0,0.0,165.0,1.7,0.3,0.0,0.0,98.0,Very Large (100+),,0,0,0,0
HC-752,2024-12-30,Finance,169,3,0,0.0,2024,12,4,December,3,1.78,0.0,1.78,167.0,1.7,0.0,3.0,1.81,98.0,Very Large (100+),,1,0,1,0
HC-761,2025-01-30,Finance,171,2,0,0.0,2025,1,1,January,2,1.17,0.0,1.17,169.0,1.7,0.0,2.0,1.18,98.0,Very Large (100+),,1,0,1,0
HC-770,2025-02-27,Finance,174,3,0,0.0,2025,2,1,February,3,1.72,0.0,1.72,171.0,2.7,0.0,3.0,1.75,98.0,Very Large (100+),,1,0,1,0
HC-779,2025-03-30,Finance,174,0,0,0.0,2025,3,1,March,0,0.0,0.0,0.0,173.0,1.7,0.0,0.0,0.0,98.0,Very Large (100+),,0,0,0,0
HC-788,2025-04-29,Finance,174,0,0,0.0,2025,4,2,April,0,0.0,0.0,0.0,174.0,1.0,0.0,0.0,0.0,98.0,Very Large (100+),,0,0,0,0
HC-797,2025-05-30,Finance,175,1,0,0.0,2025,5,2,May,1,0.57,0.0,0.57,174.0,0.3,0.0,1.0,0.57,98.0,Very Large (100+),,1,0,1,0
HC-806,2025-06-29,Finance,177,3,1,0.0056,2025,6,2,June,2,1.13,0.56,1.69,175.0,1.3,0.3,2.0,1.14,98.0,Very Large (100+),Low (<5%),1,1,1,0
HC-815,2025-07-30,Finance,179,2,0,0.0,2025,7,3,July,2,1.12,0.0,1.12,177.0,2.0,0.3,2.0,1.13,98.0,Very Large (100+),,1,0,1,0
HC-824,2025-08-30,Finance,181,2,0,0.0,2025,8,3,August,2,1.1,0.0,1.1,179.0,2.3,0.3,2.0,1.12,98.0,Very Large (100+),,1,0,1,0
