leaveid,employeeid,leavetype,startdate,enddate,days,leave_year,leave_month,leave_quarter,leave_day_of_week,leave_month_name,calculated_days,leave_duration_category,is_sick_leave,is_vacation,is_personal,is_maternity_paternity,total_leave_days,leave_count,avg_leave_duration,sick_leave_count,vacation_count,personal_leave_count,maternity_paternity_count,prev_leave_end,days_since_last_leave,leave_sequence,season,starts_on_weekend,starts_on_monday,starts_on_friday
LEAVE-3,PNR-1001,Personal Leave,2018-09-22,2018-10-01,10.0,2018,9,3,Saturday,September,10,Long (8-14 days),0,0,1,0,17.0,4,4.2,1,1,1,1,,,1,Fall,1,0,0
LEAVE-1,PNR-1001,Maternity/Paternity,2021-08-05,2021-08-07,3.0,2021,8,3,Thursday,August,3,Short (2-3 days),0,0,0,1,17.0,4,4.2,1,1,1,1,2018-10-01,1039.0,2,Summer,0,0,0
LEAVE-5,PNR-1001,Sick Leave,2022-03-16,2022-03-16,1.0,2022,3,1,Wednesday,March,1,Single Day,1,0,0,0,17.0,4,4.2,1,1,1,1,2021-08-07,221.0,3,Spring,0,0,0
LEAVE-2,PNR-1001,Vacation,2022-07-20,2022-07-22,3.0,2022,7,3,Wednesday,July,3,Short (2-3 days),0,1,0,0,17.0,4,4.2,1,1,1,1,2022-03-16,126.0,4,Summer,0,0,0
LEAVE-7,PNR-1002,Personal Leave,2018-01-30,2018-02-03,5.0,2018,1,1,Tuesday,January,5,Medium (4-7 days),0,0,1,0,15.0,5,3.0,2,0,2,1,,,1,Winter,0,0,0
LEAVE-10,PNR-1002,Sick Leave,2020-03-07,2020-03-07,1.0,2020,3,1,Saturday,March,1,Single Day,1,0,0,0,15.0,5,3.0,2,0,2,1,2018-02-03,763.0,2,Spring,1,0,0
LEAVE-9,PNR-1002,Personal Leave,2022-04-21,2022-04-22,2.0,2022,4,2,Thursday,April,2,Short (2-3 days),0,0,1,0,15.0,5,3.0,2,0,2,1,2020-03-07,775.0,3,Spring,0,0,0
LEAVE-8,PNR-1002,Maternity/Paternity,2023-04-19,2023-04-20,2.0,2023,4,2,Wednesday,April,2,Short (2-3 days),0,0,0,1,15.0,5,3.0,2,0,2,1,2022-04-22,362.0,4,Spring,0,0,0
LEAVE-6,PNR-1002,Sick Leave,2023-12-02,2023-12-06,5.0,2023,12,4,Saturday,December,5,Medium (4-7 days),1,0,0,0,15.0,5,3.0,2,0,2,1,2023-04-20,226.0,5,Winter,1,0,0
LEAVE-14,PNR-1003,Maternity/Paternity,2018-07-09,2018-07-10,2.0,2018,7,3,Monday,July,2,Short (2-3 days),0,0,0,1,21.0,5,4.2,1,1,0,3,,,1,Summer,0,1,0
LEAVE-11,PNR-1003,Maternity/Paternity,2020-03-23,2020-03-23,1.0,2020,3,1,Monday,March,1,Single Day,0,0,0,1,21.0,5,4.2,1,1,0,3,2018-07-10,622.0,2,Spring,0,1,0
 LEAVE-12 ,PNR-1003,Vacation,2021-06-14,2021-06-23,10.0,2021,6,2,Monday,June,10,Long (8-14 days),0,1,0,0,21.0,5,4.2,1,1,0,3,2020-03-23,448.0,3,Summer,0,1,0
LEAVE-13,PNR-1003,Sick Leave,2022-07-30,2022-08-01,3.0,2022,7,3,Saturday,July,3,Short (2-3 days),1,0,0,0,21.0,5,4.2,1,1,0,3,2021-06-23,402.0,4,Summer,1,0,0
LEAVE-15,PNR-1003,Maternity/Paternity,2023-10-05,2023-10-09,5.0,2023,10,4,Thursday,October,5,Medium (4-7 days),0,0,0,1,21.0,5,4.2,1,1,0,3,2022-08-01,430.0,5,Fall,0,0,0
LEAVE-17,PNR-1004,Vacation,2019-06-21,2019-06-22,2.0,2019,6,2,Friday,June,2,Short (2-3 days),0,1,0,0,11.0,4,2.8,2,1,1,0,,,1,Summer,0,0,1
LEAVE-20,PNR-1004,Sick Leave,2019-09-21,2019-09-21,1.0,2019,9,3,Saturday,September,1,Single Day,1,0,0,0,11.0,4,2.8,2,1,1,0,2019-06-22,91.0,2,Fall,1,0,0
LEAVE-18,PNR-1004,Personal Leave,2022-05-03,2022-05-07,5.0,2022,5,2,Tuesday,May,5,Medium (4-7 days),0,0,1,0,11.0,4,2.8,2,1,1,0,2019-09-21,955.0,3,Spring,0,0,0
LEAVE-16,PNR-1004,Sick Leave,2024-08-13,2024-08-15,3.0,2024,8,3,Tuesday,August,3,Short (2-3 days),1,0,0,0,11.0,4,2.8,2,1,1,0,2022-05-07,829.0,4,Summer,0,0,0
LEAVE-10001,PNR-1005,Sick Leave,2019-12-23,2020-01-01,10.0,2019,12,4,Monday,December,10,Long (8-14 days),1,0,0,0,33.0,4,8.2,2,0,0,2,,,1,Winter,0,1,0
LEAVE-23,PNR-1005,Sick Leave,2019-12-23,2020-01-01,10.0,2019,12,4,Monday,December,10,Long (8-14 days),1,0,0,0,33.0,4,8.2,2,0,0,2,2020-01-01,-9.0,2,Winter,0,1,0
LEAVE-21,PNR-1005,Maternity/Paternity,2020-07-27,2020-07-29,3.0,2020,7,3,Monday,July,3,Short (2-3 days),0,0,0,1,33.0,4,8.2,2,0,0,2,2020-01-01,208.0,3,Summer,0,1,0
LEAVE-25,PNR-1005,Maternity/Paternity,2024-10-29,2024-11-07,10.0,2024,10,4,Tuesday,October,10,Long (8-14 days),0,0,0,1,33.0,4,8.2,2,0,0,2,2020-07-29,1553.0,4,Fall,0,0,0
LEAVE-29,PNR-1006,Sick Leave,2018-10-07,2018-10-08,2.0,2018,10,4,Sunday,October,2,Short (2-3 days),1,0,0,0,9.0,4,2.2,1,1,1,1,,,1,Fall,1,0,0
LEAVE-27,PNR-1006,Maternity/Paternity,2021-03-07,2021-03-09,3.0,2021,3,1,Sunday,March,3,Short (2-3 days),0,0,0,1,9.0,4,2.2,1,1,1,1,2018-10-08,881.0,2,Spring,1,0,0
LEAVE-30,PNR-1006,Personal Leave,2021-05-24,2021-05-24,1.0,2021,5,2,Monday,May,1,Single Day,0,0,1,0,9.0,4,2.2,1,1,1,1,2021-03-09,76.0,3,Spring,0,1,0
LEAVE-26,PNR-1006,Vacation,2023-09-18,2023-09-20,3.0,2023,9,3,Monday,September,3,Short (2-3 days),0,1,0,0,9.0,4,2.2,1,1,1,1,2021-05-24,847.0,4,Fall,0,1,0
LEAVE-33,PNR-1007,Maternity/Paternity,2019-07-18,2019-07-27,10.0,2019,7,3,Thursday,July,10,Long (8-14 days),0,0,0,1,18.0,5,3.6,1,1,2,1,,,1,Summer,0,0,0
LEAVE-35,PNR-1007,Vacation,2019-08-09,2019-08-09,1.0,2019,8,3,Friday,August,1,Single Day,0,1,0,0,18.0,5,3.6,1,1,2,1,2019-07-27,13.0,2,Summer,0,0,1
LEAVE-34,PNR-1007,Personal Leave,2021-11-22,2021-11-24,3.0,2021,11,4,Monday,November,3,Short (2-3 days),0,0,1,0,18.0,5,3.6,1,1,2,1,2019-08-09,836.0,3,Fall,0,1,0
LEAVE-31,PNR-1007,Sick Leave,2023-05-12,2023-05-14,3.0,2023,5,2,Friday,May,3,Short (2-3 days),1,0,0,0,18.0,5,3.6,1,1,2,1,2021-11-24,534.0,4,Spring,0,0,1
LEAVE-32,PNR-1007,Personal Leave,2023-12-31,2023-12-31,1.0,2023,12,4,Sunday,December,1,Single Day,0,0,1,0,18.0,5,3.6,1,1,2,1,2023-05-14,231.0,5,Winter,1,0,0
LEAVE-37,PNR-1008,Maternity/Paternity,2021-06-03,2021-06-04,2.0,2021,6,2,Thursday,June,2,Short (2-3 days),0,0,0,1,14.0,3,4.7,0,2,0,1,,,1,Summer,0,0,0
LEAVE-38,PNR-1008,Vacation,2024-09-24,2024-09-25,2.0,2024,9,3,Tuesday,September,2,Short (2-3 days),0,1,0,0,14.0,3,4.7,0,2,0,1,2021-06-04,1208.0,2,Fall,0,0,0
LEAVE-39,PNR-1008,Vacation,2025-02-13,2025-02-22,10.0,2025,2,1,Thursday,February,10,Long (8-14 days),0,1,0,0,14.0,3,4.7,0,2,0,1,2024-09-25,141.0,3,Winter,0,0,0
LEAVE-45,PNR-1009,Personal Leave,2019-10-14,2019-10-23,10.0,2019,10,4,Monday,October,10,Long (8-14 days),0,0,1,0,15.0,4,3.8,1,0,1,1,,,1,Fall,0,1,0
 LEAVE-43 ,PNR-1009,Maternity/Paternity,2021-09-29,2021-09-29,1.0,2021,9,3,Wednesday,September,1,Single Day,0,0,0,1,15.0,4,3.8,1,0,1,1,2019-10-23,707.0,2,Fall,0,0,0
