candidateid,positionid,jobtitle,applicationdate,source,stage,dateatstage,application_year,application_month,application_quarter,application_month_name,application_day_of_week,stage_number,is_applied,is_screened,is_interview1,is_interview2,is_offer,is_hired,is_rejected,is_linkedin,is_indeed,is_referral,is_company_website,is_job_fair,days_in_process,applications_per_position,hires_per_position,rejections_per_position,stage_count,furthest_stage,application_season,recruitment_outcome
CAND-1,POS-1,Unknown,2025-08-18,Indeed,Rejected,2025-08-18,2025,8,3,August,Monday,7,0,0,0,0,0,0,1,0,1,0,0,0,0.0,21,1,8,1,7,Summer,Rejected
CAND-15,POS-1,Regional Sales,2025-09-07,Employee Referral,Unknown,2025-09-07,2025,9,3,September,Sunday,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,21,1,8,1,0,Fall,Unknown
CAND-13,POS-1,Unknown,2025-09-14,Job Fair,Rejected,2025-09-14,2025,9,3,September,Sunday,7,0,0,0,0,0,0,1,0,0,0,0,1,0.0,21,1,8,1,7,Fall,Rejected
CAND-16,POS-1,Regional Sales,2025-09-15,Employee Referral,Applied,2025-09-15,2025,9,3,September,Monday,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,21,1,8,2,1,Fall,In Progress - Early
CAND-16,POS-1,Regional Sales,2025-09-15,Employee Referral,Applied,2025-09-15,2025,9,3,September,Monday,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,21,1,8,2,1,Fall,In Progress - Early
CAND-14,POS-1,Regional Sales,2025-09-20,Indeed,Rejected,2025-09-20,2025,9,3,September,Saturday,7,0,0,0,0,0,0,1,0,1,0,0,0,0.0,21,1,8,1,7,Fall,Rejected
CAND-9,POS-1,Regional Sales,2025-09-25,Unknown,Rejected,2025-09-25,2025,9,3,September,Thursday,7,0,0,0,0,0,0,1,0,0,0,0,0,0.0,21,1,8,1,7,Fall,Rejected
CAND-22,POS-1,Regional Sales,2025-10-02,Indeed,Unknown,2025-10-02,2025,10,4,October,Thursday,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,21,1,8,2,1,Fall,Unknown
CAND-22,POS-1,Regional Sales,2025-10-02,Indeed,Applied,2025-10-02,2025,10,4,October,Thursday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,21,1,8,2,1,Fall,In Progress - Early
CAND-19,POS-1,Regional Sales,2025-10-03,Company Website,Screened,2025-10-08,2025,10,4,October,Friday,2,0,1,0,0,0,0,0,0,0,0,1,0,5.0,21,1,8,1,2,Fall,In Progress - Early
CAND-20,POS-1,Regional Sales,2025-10-03,Employee Referral,Rejected,2025-10-10,2025,10,4,October,Friday,7,0,0,0,0,0,0,1,0,0,1,0,0,7.0,21,1,8,1,7,Fall,Rejected
CAND-21,POS-1,Regional Sales,2025-10-08,Employee Referral,Rejected,2025-10-08,2025,10,4,October,Wednesday,7,0,0,0,0,0,0,1,0,0,1,0,0,0.0,21,1,8,1,7,Fall,Rejected
CAND-10,POS-1,Regional Sales,2025-10-17,Indeed,Unknown,2025-10-17,2025,10,4,October,Friday,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,21,1,8,2,1,Fall,Unknown
CAND-10,POS-1,Regional Sales,2025-10-17,Indeed,Applied,2025-10-17,2025,10,4,October,Friday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,21,1,8,2,1,Fall,In Progress - Early
CAND-12,POS-1,Regional Sales,2025-10-17,Unknown,Rejected,2025-10-26,2025,10,4,October,Friday,7,0,0,0,0,0,0,1,0,0,0,0,0,9.0,21,1,8,1,7,Fall,Rejected
CAND-2,POS-1,Regional Sales,2025-10-21,Employee Referral,Rejected,,2025,10,4,October,Tuesday,7,0,0,0,0,0,0,1,0,0,1,0,0,0.0,21,1,8,1,7,Fall,Rejected
CAND-3,POS-1,Unknown,2025-10-25,Linkedin,Applied,2025-10-25,2025,10,4,October,Saturday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,21,1,8,1,1,Fall,In Progress - Early
CAND-4,POS-1,Regional Sales,2025-10-25,Employee Referral,Screened,2025-10-29,2025,10,4,October,Saturday,2,0,1,0,0,0,0,0,0,0,1,0,0,4.0,21,1,8,1,2,Fall,In Progress - Early
CAND-5,POS-1,Regional Sales,2025-10-25,Job Fair,Interview 1,2025-11-04,2025,10,4,October,Saturday,3,0,0,1,0,0,0,0,0,0,0,0,1,10.0,21,1,8,1,3,Fall,In Progress - Advanced
CAND-6,POS-1,Regional Sales,2025-10-25,Company Website,Interview 2,2025-11-06,2025,10,4,October,Saturday,4,0,0,0,1,0,0,0,0,0,0,1,0,12.0,21,1,8,1,4,Fall,In Progress - Advanced
CAND-8,POS-1,Regional Sales,2025-10-25,Linkedin,Hired,2025-11-13,2025,10,4,October,Saturday,6,0,0,0,0,0,1,0,1,0,0,0,0,19.0,21,1,8,1,6,Fall,Hired
CAND-367,POS-10,Qc,2025-09-08,Indeed,Applied,2025-09-08,2025,9,3,September,Monday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-369,POS-10,Qc,2025-09-08,Unknown,Interview 1,2025-09-17,2025,9,3,September,Monday,3,0,0,1,0,0,0,0,0,0,0,0,0,9.0,35,4,6,1,3,Fall,In Progress - Advanced
CAND-370,POS-10,Qc,2025-09-08,Linkedin,Rejected,2025-09-22,2025,9,3,September,Monday,7,0,0,0,0,0,0,1,1,0,0,0,0,14.0,35,4,6,1,7,Fall,Rejected
CAND-372,POS-10,Qc,2025-09-10,Job Fair,Screened,2025-09-12,2025,9,3,September,Wednesday,2,0,1,0,0,0,0,0,0,0,0,0,1,2.0,35,4,6,1,2,Fall,In Progress - Early
CAND-374,POS-10,Qc,2025-09-10,Employee Referral,Interview 2,2025-09-25,2025,9,3,September,Wednesday,4,0,0,0,1,0,0,0,0,0,1,0,0,15.0,35,4,6,1,4,Fall,In Progress - Advanced
CAND-376,POS-10,Unknown,2025-09-10,Indeed,Hired,2025-10-07,2025,9,3,September,Wednesday,6,0,0,0,0,0,1,0,0,1,0,0,0,27.0,35,4,6,1,6,Fall,Hired
CAND-377,POS-10,Qc,2025-09-10,Indeed,Applied,2025-09-10,2025,9,3,September,Wednesday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-378,POS-10,Qc,2025-09-10,Job Fair,Screened,2025-09-16,2025,9,3,September,Wednesday,2,0,1,0,0,0,0,0,0,0,0,0,1,6.0,35,4,6,1,2,Fall,In Progress - Early
CAND-366,POS-10,Qc,2025-10-04,Company Website,Unknown,2025-10-08,2025,10,4,October,Saturday,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,35,4,6,2,7,Fall,Unknown
CAND-366,POS-10,Qc,2025-10-04,Company Website,Rejected,2025-10-08,2025,10,4,October,Saturday,7,0,0,0,0,0,0,1,0,0,0,1,0,4.0,35,4,6,2,7,Fall,Rejected
CAND-333,POS-10,Qc,2025-10-05,Unknown,Screened,2025-10-10,2025,10,4,October,Sunday,2,0,1,0,0,0,0,0,0,0,0,0,0,5.0,35,4,6,1,2,Fall,In Progress - Early
CAND-336,POS-10,Qc,2025-10-10,Unknown,Applied,2025-10-10,2025,10,4,October,Friday,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-338,POS-10,Qc,2025-10-10,Employee Referral,Rejected,2025-10-18,2025,10,4,October,Friday,7,0,0,0,0,0,0,1,0,0,1,0,0,8.0,35,4,6,1,7,Fall,Rejected
CAND-340,POS-10,Qc,2025-10-18,Company Website,Applied,,2025,10,4,October,Saturday,1,1,0,0,0,0,0,0,0,0,0,1,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-341,POS-10,Qc,2025-10-18,Unknown,Screened,2025-10-22,2025,10,4,October,Saturday,2,0,1,0,0,0,0,0,0,0,0,0,0,4.0,35,4,6,1,2,Fall,In Progress - Early
CAND-342,POS-10,Qc,2025-10-18,Unknown,Interview 1,2025-10-29,2025,10,4,October,Saturday,3,0,0,1,0,0,0,0,0,0,0,0,0,11.0,35,4,6,1,3,Fall,In Progress - Advanced
CAND-343,POS-10,Qc,2025-10-18,Employee Referral,Rejected,2025-11-04,2025,10,4,October,Saturday,7,0,0,0,0,0,0,1,0,0,1,0,0,17.0,35,4,6,2,7,Fall,Rejected
CAND-343,POS-10,Qc,2025-10-18,Employee Referral,Rejected,2025-11-04,2025,10,4,October,Saturday,7,0,0,0,0,0,0,1,0,0,1,0,0,17.0,35,4,6,2,7,Fall,Rejected
CAND-348,POS-10,Qc,2025-10-20,Linkedin,Applied,2025-10-20,2025,10,4,October,Monday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-349,POS-10,Qc,2025-10-20,Unknown,Screened,2025-10-26,2025,10,4,October,Monday,2,0,1,0,0,0,0,0,0,0,0,0,0,6.0,35,4,6,1,2,Fall,In Progress - Early
CAND-350,POS-10,Unknown,2025-10-20,Job Fair,Interview 1,2025-10-30,2025,10,4,October,Monday,3,0,0,1,0,0,0,0,0,0,0,0,1,10.0,35,4,6,1,3,Fall,In Progress - Advanced
CAND-352,POS-10,Qc,2025-10-20,Employee Referral,Rejected,2025-10-20,2025,10,4,October,Monday,7,0,0,0,0,0,0,1,0,0,1,0,0,0.0,35,4,6,1,7,Fall,Rejected
CAND-353,POS-10,Qc,2025-10-20,Linkedin,Applied,2025-10-20,2025,10,4,October,Monday,1,1,0,0,0,0,0,0,1,0,0,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-355,POS-10,Unknown,2025-10-20,Employee Referral,Interview 1,2025-10-27,2025,10,4,October,Monday,3,0,0,1,0,0,0,0,0,0,1,0,0,7.0,35,4,6,1,3,Fall,In Progress - Advanced
CAND-356,POS-10,Unknown,2025-10-20,Indeed,Interview 2,2025-11-01,2025,10,4,October,Monday,4,0,0,0,1,0,0,0,0,1,0,0,0,12.0,35,4,6,1,4,Fall,In Progress - Advanced
CAND-357,POS-10,Qc,2025-10-20,Job Fair,Offer,2025-11-03,2025,10,4,October,Monday,5,0,0,0,0,1,0,0,0,0,0,0,1,14.0,35,4,6,1,5,Fall,Offer Stage
CAND-358,POS-10,Qc,2025-10-20,Employee Referral,Hired,2025-11-07,2025,10,4,October,Monday,6,0,0,0,0,0,1,0,0,0,1,0,0,18.0,35,4,6,1,6,Fall,Hired
CAND-359,POS-10,Qc,2025-10-20,Employee Referral,Applied,,2025,10,4,October,Monday,1,1,0,0,0,0,0,0,0,0,1,0,0,0.0,35,4,6,1,1,Fall,In Progress - Early
CAND-360,POS-10,Unknown,2025-10-20,Linkedin,Screened,2025-10-27,2025,10,4,October,Monday,2,0,1,0,0,0,0,0,1,0,0,0,0,7.0,35,4,6,2,2,Fall,In Progress - Early
CAND-360,POS-10,Qc,2025-10-20,Linkedin,Screened,2025-10-27,2025,10,4,October,Monday,2,0,1,0,0,0,0,0,1,0,0,0,0,7.0,35,4,6,2,2,Fall,In Progress - Early
CAND-363,POS-10,Qc,2025-10-20,Unknown,Offer,,2025,10,4,October,Monday,5,0,0,0,0,1,0,0,0,0,0,0,0,0.0,35,4,6,1,5,Fall,Offer Stage
CAND-364,POS-10,Qc,2025-10-20,Company Website,Hired,2025-11-16,2025,10,4,October,Monday,6,0,0,0,0,0,1,0,0,0,0,1,0,27.0,35,4,6,2,6,Fall,Hired
CAND-364,POS-10,Qc,2025-10-20,Company Website,Hired,2025-11-16,2025,10,4,October,Monday,6,0,0,0,0,0,1,0,0,0,0,1,0,27.0,35,4,6,2,6,Fall,Hired
CAND-345,POS-10,Qc,2025-10-24,Employee Referral,Screened,2025-10-29,2025,10,4,October,Friday,2,0,1,0,0,0,0,0,0,0,1,0,0,5.0,35,4,6,1,2,Fall,In Progress - Early
CAND-346,POS-10,Qc,2025-10-24,Job Fair,Interview 1,2025-11-04,2025,10,4,October,Friday,3,0,0,1,0,0,0,0,0,0,0,0,1,11.0,35,4,6,1,3,Fall,In Progress - Advanced
CAND-4128,POS-100,Marketing,2025-08-11,Job Fair,Unknown,2025-08-11,2025,8,3,August,Monday,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,1,0,Summer,Unknown
CAND-4122,POS-100,Marketing,2025-08-15,Indeed,Applied,2025-08-15,2025,8,3,August,Friday,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,32,3,6,1,1,Summer,In Progress - Early
CAND-4124,POS-100,Marketing,2025-08-15,Company Website,Interview 1,,2025,8,3,August,Friday,3,0,0,1,0,0,0,0,0,0,0,1,0,0.0,32,3,6,1,3,Summer,In Progress - Advanced
CAND-4125,POS-100,Marketing,2025-08-15,Employee Referral,Unknown,2025-08-25,2025,8,3,August,Friday,0,0,0,0,0,0,0,0,0,0,1,0,0,10.0,32,3,6,2,4,Summer,Unknown
CAND-4125,POS-100,Marketing,2025-08-15,Employee Referral,Interview 2,2025-08-25,2025,8,3,August,Friday,4,0,0,0,1,0,0,0,0,0,1,0,0,10.0,32,3,6,2,4,Summer,In Progress - Advanced
CAND-4150,POS-100,Unknown,2025-08-16,Unknown,Applied,2025-08-16,2025,8,3,August,Saturday,1,1,0,0,0,0,0,0,0,0,0,0,0,0.0,32,3,6,2,1,Summer,In Progress - Early
CAND-4150,POS-100,Marketing,2025-08-16,Job Fair,Applied,2025-08-16,2025,8,3,August,Saturday,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,2,1,Summer,In Progress - Early
CAND-4152,POS-100,Marketing,2025-08-16,Job Fair,Unknown,,2025,8,3,August,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,32,3,6,2,3,Summer,Unknown
CAND-4152,POS-100,Marketing,2025-08-16,Job Fair,Interview 1,2025-08-24,2025,8,3,August,Saturday,3,0,0,1,0,0,0,0,0,0,0,0,1,8.0,32,3,6,2,3,Summer,In Progress - Advanced
CAND-4154,POS-100,Marketing,2025-08-16,Company Website,Offer,2025-09-01,2025,8,3,August,Saturday,5,0,0,0,0,1,0,0,0,0,0,1,0,16.0,32,3,6,1,5,Summer,Offer Stage
CAND-4155,POS-100,Unknown,2025-08-16,Linkedin,Hired,2025-09-06,2025,8,3,August,Saturday,6,0,0,0,0,0,1,0,1,0,0,0,0,21.0,32,3,6,2,6,Summer,Hired
CAND-4155,POS-100,Marketing,2025-08-16,Linkedin,Hired,2025-09-06,2025,8,3,August,Saturday,6,0,0,0,0,0,1,0,1,0,0,0,0,21.0,32,3,6,2,6,Summer,Hired
