ChangeID,EmployeeID,ChangeDate,OldSalary,NewSalary,Reason
"COMP-1","PNR-1001"," 2022-05-02 ","63502","","Merit"
""," PNR-1001 ","2023-06-05","","77522","Promotion"
"COMP-3","PNR-1001","2024-05-10","77522","85274",""
"COMP-4","","2020-11-29","55656","61221","Promotion"
" COMP-5 ","PNR-1002"," 2021-12-05 ","61221","67955"," Promotion "
"COMP-6","PNR-1002","2022-12-06","67955","71352","Merit"
"COMP-7"," PNR-1004 ","","49257","55167","Merit"
"COMP-7","PNR-1004","2020-12-26","49257","55167","Merit"
" COMP-9 ","","2023-08-05","101658","113856","Promotion"
"COMP-10","PNR-1005","","","121825","Merit"
"COMP-11","PNR-1005","2025-07-19","121825","140098","Merit"
"","","2024-08-07","60885","67582","Merit"
""," PNR-1007 ","","67582","76367","Merit"
" COMP-14 ","PNR-1008","2024-06-13","63293","69622","Merit"
"COMP-15","PNR-1008","","","73799","Promotion"
"COMP-16"," PNR-1009 ","2023-03-01","47854","54553","Promotion"
"COMP-17","PNR-1009","","54553","58371","#N/A"
"COMP-18","PNR-1009"," 2025-02-02 ","58371","61289","Merit"
"COMP-19","PNR-1011","2023-07-13","117771","131903",""
"COMP-20","PNR-1011","2024-07-18","131903","143774","Promotion"
" COMP-21 ","PNR-1011"," 2025-08-04 ","143774","153838",""
"COMP-22","PNR-1012","2019-11-29","","74093","Merit"
"COMP-23","PNR-1012","2020-10-15","74093","80020","Promotion"
"","PNR-1012","2021-08-19","80020","","Promotion"
"COMP-25","PNR-1013","2021-12-26","140858","149309","#N/A"
"COMP-26"," PNR-1013 ","","149309","","Promotion"
"COMP-27","PNR-1013","","164239","180662","Promotion"
"COMP-28","PNR-1016","2024-05-26","62439","66185",""
"COMP-29","PNR-1016","2025-04-14","","70156","Merit"
"COMP-30"," PNR-1017 "," 2022-03-07 ","66896","75592",""
"COMP-31","PNR-1017","2023-01-11","75592","83151","Promotion"
"#N/A","PNR-1017"," 2024-02-10 ","83151","89803","Promotion"
"COMP-32","PNR-1017","2024-02-10","83151","89803","Promotion"
"COMP-34","PNR-1018","#N/A","71349","","Merit"
""," PNR-1019 ","2022-02-03","57875","62505"," Promotion "
"COMP-35","PNR-1019","2022-02-03","57875","62505","Promotion"
"COMP-36","PNR-1019","2023-02-03","62505","66880","Merit"
"COMP-37","PNR-1019","2023-12-22","66880","70892","Promotion"
"COMP-39","","2023-02-13","55092","58397","Merit"
"COMP-40","PNR-1020","2024-03-16","58397","","Merit"
"COMP-41","PNR-1020","2025-01-20","65988","72586","Merit"
"COMP-42","","2023-12-24","65173","73645","Promotion"
"","PNR-1021"," 2024-10-28 ","73645","78063","Promotion"
"COMP-44"," PNR-1023 ","2020-09-18","134816","146949","Promotion"
" COMP-45 ","","2021-09-16","146949","166052","Merit"
"COMP-46","PNR-1023","#N/A","166052","176015","Promotion"
"COMP-47","PNR-1024","2021-06-14","","","Promotion"
"","PNR-1024","2022-05-25","","56511","Merit"
"COMP-49","PNR-1024","2023-05-28","56511","64422",""
"COMP-50","PNR-1025","2025-08-20","56459","61540","Promotion"
"COMP-51","PNR-1026","2024-01-17","63360","72230"," Promotion "
"COMP-52","","2024-12-14","72230","79453"," Merit "
"COMP-53","PNR-1027"," 2020-01-29 ","110362","121398","Promotion"
"COMP-54","PNR-1027","2020-11-27","121398","135965","Merit"
"COMP-55","PNR-1027","#N/A","135965","146842","Promotion"
""," PNR-1028 ","2024-08-22","50541","57111","Merit"
"COMP-57","PNR-1028","2025-09-07","57111","61108",""
"COMP-58","PNR-1029","2021-05-10","97539","","Promotion"
"COMP-58","PNR-1029","2021-05-10","97539","102415","Promotion"
"COMP-60"," PNR-1029 ","2023-04-22","115728","126143","#N/A"
"COMP-61","PNR-1030","2025-06-28","65364","69939","Promotion"
" COMP-62 ","PNR-1031","2023-03-23","60892","68199","Merit"
"COMP-62","PNR-1031","2023-03-23","60892","68199","Merit"
"COMP-64","PNR-1031","2025-03-01","72972","83188","Merit"
" COMP-65 ","PNR-1032","2020-04-08","122590","132397","Promotion"
"COMP-65","PNR-1032","2020-04-08","122590","132397","Promotion"
"COMP-67","PNR-1032","2022-02-27","142988","152997","Promotion"
"COMP-68","PNR-1032","2023-01-16","152997","171356","Promotion"
" COMP-69 ","PNR-1033"," 2024-12-31 ","60831","68130","Merit"
" COMP-70 ","PNR-1034","#N/A","57896","61948","Merit"
"COMP-71","PNR-1034","2022-07-16","61948","71240","Merit"
"COMP-71","PNR-1034","2022-07-16","61948","71240","Merit"
"COMP-73","","","83205","88197"," Promotion "
"COMP-74"," PNR-1035 ","2025-01-21","88197","94370",""
"COMP-75","PNR-1036","","128365","139917","Merit"
"COMP-76","PNR-1036","","139917","159505","Promotion"
" COMP-77 ","PNR-1036","2022-05-02","159505","177050","Merit"
"COMP-78","PNR-1038","2023-02-21","60820","63861","Promotion"
"COMP-79","PNR-1038","2024-02-25","63861","73440","Merit"
"","PNR-1038","2025-01-30","73440","81518","Promotion"
"COMP-80","PNR-1038","2025-01-30","73440","81518","Promotion"
"COMP-82",""," 2021-02-16 ","55801","61939","Merit"
"COMP-83","PNR-1041","2022-03-21","61939","69991","Merit"
"COMP-84","PNR-1042","2021-06-04","46460","51106"," Merit "
"COMP-85","PNR-1042","2022-05-18","51106","53661","Merit"
"COMP-85","PNR-1042","2022-05-18","51106","53661","Merit"
"COMP-87","PNR-1043","2023-02-27","65125","74242","Promotion"
"","PNR-1043","2024-03-04","74242","84635","Promotion"
"COMP-89","PNR-1044","2019-08-25","75925","85036",""
" COMP-90 ","PNR-1044","2020-08-03","85036","95240"," Promotion "
"","","2020-07-02","","","Promotion"
"COMP-92"," PNR-1045 ","2021-07-24","","75002","Promotion"
"","","","75002","84002",""
"COMP-94","PNR-1047"," 2023-01-15 ","74960","81706","Merit"
"COMP-95","PNR-1047","2024-01-14","81706","91510",""
"#N/A","PNR-1047","2024-12-03","91510","102491","Promotion"
" COMP-97 ","PNR-1048","2020-11-22","66500","72485","Promotion"
"COMP-98","PNR-1048","2021-09-27","72485","81183","Merit"
" COMP-99 ","PNR-1048","","81183","86865","Promotion"
"COMP-100",""," 2022-01-09 ","47826","53565"," Promotion "
"COMP-100","PNR-1049","2022-01-09","47826","53565","Promotion"
"COMP-102","PNR-1049","2023-12-06","59457","63618","Merit"
"COMP-103","PNR-1051","2020-01-18","142783","164200","Merit"
"COMP-104","PNR-1051","2021-02-03","164200","182262","Merit"
"COMP-104","PNR-1051","2021-02-03","164200","182262","Merit"
"","PNR-1052","2025-05-16","50385","57942","Merit"
"COMP-107","PNR-1053","2021-10-04","46136","49365","Promotion"
"COMP-108","PNR-1053"," 2022-08-25 ","49365","55782","Promotion"
"COMP-109","PNR-1053"," 2023-08-28 ","55782","61360","Promotion"
"COMP-110","PNR-1054","","132421","","Merit"
"","PNR-1054","2023-06-09","139042","158507","Merit"
"COMP-112","PNR-1054","2024-07-13","158507","174357","Merit"
"COMP-113","PNR-1055","2022-11-26","46737","53747","Promotion"
"COMP-114","PNR-1055","#N/A","53747","59659","Promotion"
"COMP-115","PNR-1056","2025-03-05","129986","142984","Promotion"
"COMP-116"," PNR-1057 ","","53720","56943","Merit"
"COMP-117","PNR-1057"," 2020-06-18 ","56943","64345","Promotion"
