RecordID,MonthEnd,Department,Headcount,Hires,Terminations,AttritionRate
"HC-1","2018-01-30","Sales","1","1","0","0.0000"
"HC-2","2018-01-30","Marketing","1","1","0","0.0000"
"HC-3","2018-01-30","Production","2","2","0","0.0000"
"HC-4","2018-01-30","Human Resources","2","2","0","0.0000"
"HC-5","2018-01-30","Finance","1","1","0","0.0000"
"HC-6","2018-01-30","IT Support","4","4","0","0.0000"
"HC-7","2018-01-30","Quality Control","3","3","0","0.0000"
"HC-8","2018-01-30","Logistics","2","2","0","0.0000"
"HC-9","2018-01-30","Research & Development","6","6","0","0.0000"
"HC-10","2018-02-27","Sales","3","2","0","0.0000"
"HC-11","2018-02-27","Marketing","3","2","0","0.0000"
"HC-12","2018-02-27","Production","4","2","0","0.0000"
"HC-13","2018-02-27","Human Resources","4","2","0","0.0000"
"HC-14","2018-02-27","Finance","2","1","0","0.0000"
"HC-15","2018-02-27","IT Support","5","1","0","0.0000"
"HC-16","2018-02-27","Quality Control","6","3","0","0.0000"
"HC-17","2018-02-27","Logistics","3","1","0","0.0000"
"HC-18","2018-02-27","Research & Development","8","2","0","0.0000"
"HC-19","2018-03-30","Sales","6","3","0","0.0000"
"HC-20","2018-03-30","Marketing","6","3","0","0.0000"
"HC-21","2018-03-30","Production","5","1","0","0.0000"
"HC-22","2018-03-30","Human Resources","6","2","0","0.0000"
"HC-23","2018-03-30","Finance","9","7","0","0.0000"
"HC-24","2018-03-30","IT Support","8","3","0","0.0000"
"HC-25","2018-03-30","Quality Control","8","3","0","0.0000"
"HC-26","2018-03-30","Logistics","4","1","0","0.0000"
"HC-27","2018-03-30","Research & Development","11","3","0","0.0000"
"HC-28","2018-04-29","Sales","11","5","0","0.0000"
"HC-29","2018-04-29","Marketing","7","1","0","0.0000"
"HC-30","2018-04-29","Production","5","0","0","0.0000"
"HC-31","2018-04-29","Human Resources","7","1","0","0.0000"
"HC-32","2018-04-29","Finance","11","2","0","0.0000"
"HC-33","2018-04-29","IT Support","11","3","0","0.0000"
"HC-34","2018-04-29","Quality Control","10","1","0","0.0000"
"HC-35","2018-04-29","Logistics","7","3","0","0.0000"
"HC-36","2018-04-29","Research & Development","12","1","0","0.0000"
"HC-37","2018-05-30","Sales","14","3","0","0.0000"
"HC-38","2018-05-30","Marketing","9","2","0","0.0000"
"HC-39","2018-05-30","Production","8","3","0","0.0000"
