LeaveID,EmployeeID,LeaveType,StartDate,EndDate,Days
"LEAVE-1","PNR-1001","Maternity/Paternity","2021-08-05","2021-08-07","3"
"LEAVE-2","PNR-1001","Vacation","2022-07-20","2022-07-22","3"
"LEAVE-3","PNR-1001","Personal Leave","2018-09-22","2018-10-01","10"
"LEAVE-3","PNR-1001","Personal Leave","2018-09-22","2018-10-01","10"
"LEAVE-5","PNR-1001","Sick Leave","2022-03-16","2022-03-16","1"
"LEAVE-6","PNR-1002","Sick Leave","2023-12-02","2023-12-06","5"
"LEAVE-7","PNR-1002","Personal Leave"," 2018-01-30 ","2018-02-03","5"
"LEAVE-8","PNR-1002","Maternity/Paternity","2023-04-19","2023-04-20","2"
"LEAVE-9","PNR-1002","Personal Leave","2022-04-21","2022-04-22","2"
"LEAVE-10","PNR-1002","Sick Leave"," 2020-03-07 ","2020-03-07","1"
"LEAVE-11","PNR-1003","Maternity/Paternity","2020-03-23","2020-03-23","1"
" LEAVE-12 ","PNR-1003","Vacation","2021-06-14","2021-06-23","10"
"LEAVE-13","PNR-1003"," Sick Leave ","2022-07-30","2022-08-01","3"
"LEAVE-14","PNR-1003","Maternity/Paternity","2018-07-09","2018-07-10","2"
"LEAVE-15","PNR-1003","Maternity/Paternity","2023-10-05","2023-10-09",""
"LEAVE-16"," PNR-1004 ","Sick Leave","2024-08-13","2024-08-15","3"
"LEAVE-17","PNR-1004","Vacation","2019-06-21"," 2019-06-22 ","2"
"LEAVE-18","PNR-1004","Personal Leave","2022-05-03","2022-05-07","5"
"LEAVE-19","","Vacation","2018-03-02","2018-03-11","10"
"LEAVE-20","PNR-1004","Sick Leave","2019-09-21","2019-09-21","1"
"LEAVE-21","PNR-1005","Maternity/Paternity","2020-07-27","2020-07-29","3"
"LEAVE-22","PNR-1005","Personal Leave","2022-01-26","","5"
"","PNR-1005","Sick Leave","2019-12-23","2020-01-01","10"
"LEAVE-23","PNR-1005","Sick Leave","2019-12-23","2020-01-01","10"
"LEAVE-25","PNR-1005","Maternity/Paternity","2024-10-29","2024-11-07","10"
"LEAVE-26","PNR-1006","Vacation","2023-09-18","2023-09-20","3"
"LEAVE-27","PNR-1006","Maternity/Paternity","2021-03-07","2021-03-09","3"
"LEAVE-28","PNR-1006","Vacation","","2019-09-18","1"
"LEAVE-29","PNR-1006"," Sick Leave ","2018-10-07","2018-10-08","2"
"LEAVE-30","PNR-1006","Personal Leave","2021-05-24","2021-05-24","1"
"LEAVE-31","PNR-1007","Sick Leave","2023-05-12","2023-05-14","3"
"LEAVE-32","PNR-1007","Personal Leave"," 2023-12-31 ","2023-12-31","1"
"LEAVE-33","PNR-1007","Maternity/Paternity","2019-07-18","2019-07-27","10"
"LEAVE-34","PNR-1007","Personal Leave","2021-11-22","2021-11-24","3"
