CandidateID,PositionID,JobTitle,ApplicationDate,Source,Stage,DateatStage
" CAND-1 ","POS-1","","2025-08-18","Indeed","Rejected","2025-08-18"
"CAND-2","POS-1"," Regional Sales ","2025-10-21"," Employee Referral ","Rejected",""
"CAND-3"," POS-1 ","","2025-10-25","LinkedIn"," Applied ","2025-10-25"
"CAND-4","POS-1","Regional Sales"," 2025-10-25 ","Employee Referral","Screened","2025-10-29"
" CAND-5 ","POS-1","Regional Sales","2025-10-25","Job Fair"," Interview 1 ","2025-11-04"
"CAND-6","POS-1","Regional Sales","","Company Website","Interview 2","#N/A"
"CAND-6","POS-1","Regional Sales","2025-10-25","Company Website","Interview 2","2025-11-06"
"CAND-8","POS-1"," Regional Sales ","2025-10-25","LinkedIn","Hired","2025-11-13"
" CAND-9 ","POS-1","Regional Sales","2025-09-25","#N/A","Rejected","2025-09-25"
"CAND-10","POS-1","Regional Sales","2025-10-17","Indeed",""," 2025-10-17 "
"CAND-10","POS-1","Regional Sales","2025-10-17","Indeed","Applied","2025-10-17"
"CAND-12","POS-1","Regional Sales","2025-10-17","#N/A","Rejected","2025-10-26"
"CAND-13"," POS-1 ","","2025-09-14","Job Fair","Rejected"," 2025-09-14 "
"CAND-14"," POS-1 "," Regional Sales ","2025-09-20","Indeed","Rejected","2025-09-20"
"CAND-15","POS-1"," Regional Sales "," 2025-09-07 ","Employee Referral",""," 2025-09-07 "
"CAND-16"," POS-1 ","Regional Sales","2025-09-15","Employee Referral"," Applied ","2025-09-15"
"CAND-16","POS-1","Regional Sales","2025-09-15","Employee Referral","Applied","2025-09-15"
"",""," Regional Sales ","2025-10-03","","Applied","2025-10-03"
"CAND-19","POS-1","Regional Sales","2025-10-03","Company Website"," Screened ","2025-10-08"
"CAND-20","POS-1","Regional Sales","2025-10-03","Employee Referral"," Rejected ","2025-10-10"
" CAND-21 ","POS-1","Regional Sales"," 2025-10-08 ","Employee Referral","Rejected","2025-10-08"
"CAND-22","POS-1","Regional Sales","2025-10-02","Indeed",""," 2025-10-02 "
"CAND-22","POS-1","Regional Sales","2025-10-02","Indeed","Applied","2025-10-02"
"CAND-24","POS-1","Regional Sales","","Employee Referral","Rejected","2025-08-22"
"CAND-25","","Regional Sales"," 2025-09-07 ","Company Website","Rejected",""
"CAND-26","POS-2","Marketing","","Job Fair","Rejected","2025-08-07"
" CAND-27 ","POS-2","Marketing","2025-08-22","Employee Referral","Applied","2025-08-22"
"CAND-28","POS-2","Marketing","2025-08-22","Indeed","Screened","2025-08-27"
"CAND-28","POS-2","Marketing","2025-08-22","Indeed","Screened","2025-08-27"
"CAND-30","","Marketing"," 2025-09-28 ",""," Applied ","2025-09-28"
"CAND-30","POS-2","Marketing","2025-09-28","LinkedIn","Applied","2025-09-28"
"CAND-32","POS-2","Marketing","2025-09-28","LinkedIn","",""
"CAND-33","POS-2"," Marketing ","2025-09-28","Indeed","Interview 2","2025-10-10"
"CAND-34","#N/A","Marketing","2025-09-28","Company Website","Offer","2025-10-15"
" CAND-35 ","POS-2","Marketing","2025-09-28",""," Hired "," 2025-10-20 "
"CAND-35","POS-2","Marketing","2025-09-28","Employee Referral","Hired","2025-10-20"
"","","Marketing","","","Screened","2025-10-16"
"","#N/A","Marketing","2025-10-11","Indeed","Interview 1",""
"CAND-39","","#N/A","2025-10-11"," Indeed ","Interview 2","2025-10-20"
"CAND-39","POS-2","Marketing","2025-10-11","Indeed","Interview 2","2025-10-20"
"CAND-40","POS-2","Marketing","2025-10-11","Company Website","Rejected","2025-10-24"
"CAND-42","POS-2","Marketing","2025-09-21","","Rejected","2025-09-24"
"","POS-2","","2025-08-12","Employee Referral","Applied","2025-08-12"
